,id,who,utt
0,SNG01162.json,0,i am looking for a particular restaurant . its name is called [restaurant_name]
1,SNG01162.json,1,it is an [value_pricerange] [value_food] restaurant on the [value_area] side of town . would you like the address ?
2,SNG01162.json,0,"yes , and can you book a table for [value_count] at [value_time] on [value_day] , please ."
3,SNG01162.json,1,ok . you are all set for [value_day] at [value_time] . have a great day .
4,SNG01165.json,0,i am looking for a restaurant . the restaurant should be in the [value_pricerange] price range and should be in the [value_area]
5,SNG01165.json,1,try [restaurant_name] or [restaurant_name]
6,SNG01165.json,0,the restaurant should serve [value_food] food .
7,SNG01165.json,1,"[restaurant_name] serves [value_food] food in the [value_area] , would you like a reservation ?"
8,SNG01165.json,0,what other restaurant -s in that area serve [value_food] food ?
9,SNG01165.json,1,"[restaurant_name] is the only [value_food] restaurant , in the [value_area] , in the [value_pricerange] price range . do you want me to try other area -s ?"
10,SNG01165.json,0,"no , that will do . can i book a table for [value_day] ?"
11,SNG01165.json,1,"absolutely , how many people will you have and what time are you wanting the reservation ?"
12,SNG01165.json,0,i will have [value_count] people and we would like [value_time] if possible . thanks .
13,SNG01165.json,1,"      you are booked , the reference number is [restaurant_reference] , may i assist with anything else ?      "
14,SNG01165.json,0,thanks for you help . i only need the restaurant reservation . goodbye .
15,SNG01165.json,1,"      you are welcome . thank you for contacting [value_place] towninfo [value_area] , and have a great day .      "
16,SNG01172.json,0,i want to eat at a [value_pricerange] -ly priced restaurant please
17,SNG01172.json,1,what type of food would you like ?
18,SNG01172.json,0,"belgian please , i am craving that lately"
19,SNG01172.json,1,we need some more information . where are looking to eat ?
20,SNG01172.json,0,"i prefer to eat in the center of town , please ."
21,SNG01172.json,1,"no , i did not find any restaurant -s in the [value_area] ."
22,SNG01172.json,0,"hmm . how about somewhere else in town , what is available ?"
23,SNG01172.json,1,i am sorry but i do not have any belgian place -s in the [value_area] . can i try a different area ?
24,SNG01172.json,0,why do not we try [value_food] food instead
25,SNG01172.json,1,there are [value_count] [value_food] restaurant -s in the [value_area] of town . they are efe s restaurant and [restaurant_name] .
26,SNG01172.json,0,either would be fine . can you book for [value_count] at [value_time] on [value_day] ?
27,SNG01172.json,1,"i am sorry , it looks like they are both booked during yoir preferred time and day . would you like to try something else ?"
28,SNG01172.json,0,yes try [value_time] and please give me the reference number .
29,SNG01172.json,1,      booking was successful at [restaurant_name] . the table will be reserved for [value_count] minutes . reference number is [restaurant_reference] .      
30,SNG01172.json,0,thanks so much ! you've been helpful .
31,SNG01172.json,1,      have a nice day      
32,SNG01172.json,0,you have a nice day also .
33,SNG01172.json,1,      thank you . i hope you enjoy your meal .      
34,SNG01173.json,0,are there [value_pricerange] place -s to eat in the [value_area] part of town ?
35,SNG01173.json,1,there are several in that price range at the [value_area] . what type of food would you like ?
36,SNG01173.json,0,good i like [value_food] food please .
37,SNG01173.json,1,[restaurant_name] looks great . need a reservation ?
38,SNG01173.json,0,"yes , i need a reservation for [value_count] people on [value_day] at [value_time] . could i get the reservation number ?"
39,SNG01173.json,1,      booking was successful . the table will be reserved for [value_count] minutes . reference number is [restaurant_reference] .      
40,SNG01173.json,0,perfect . thank you for all of your help . have a good day .
41,SNG01173.json,1,      you are most welcome . thanks for contacting towninfo [value_area] . goodbye .      
42,SNG01179.json,0,can you help me find a restaurant ?
43,SNG01179.json,1,are you looking for a particular style of food ?
44,SNG01179.json,0,i am actually looking for a particular restaurant recommended to me by the name of [restaurant_name] .
45,SNG01179.json,1,"yes , the [restaurant_name] is located on [restaurant_address] and on the northern part of [value_place] ."
46,SNG01179.json,0,may i [restaurant_name] what type of food does [restaurant_name] serve ?
47,SNG01179.json,1,sure ! it is [value_food] food .
48,SNG01179.json,0,i'll also need the postcode and area please .
49,SNG01179.json,1,[restaurant_name] is located in the [value_area] area and the postcode is [restaurant_postcode] .
50,SNG01179.json,0,"great , thanks . that is all i need today ."
51,SNG01179.json,1,thank you for allowing me to help you . have a great day .
52,SNG01184.json,0,can you help me find a good [value_food] restaurant in the [value_area] ?
53,SNG01184.json,1,there is [restaurant_name] that s [value_pricerange] would you like me to book a table for you ?
54,SNG01184.json,0,"yes , that would be great ."
55,SNG01184.json,1,can you please tell me how many people and what day and time you would like me to book it ?
56,SNG01184.json,0,[value_day] at [value_time] for [value_count] people .
57,SNG01184.json,1,      i was able to book that for you for [value_day] . your reference number is [restaurant_reference] .      
58,SNG01184.json,0,thank you for your service
59,SNG01184.json,1,      you are quite welcome . do you need any further assistance ?      
60,SNG01184.json,0,"no , the reservation is all . goodbye ."
61,SNG01184.json,1,      thank you for using our services .      
62,SNG01196.json,0,i am looking for a restaurant . the restaurant should serve world food and should be in the [value_area]
63,SNG01196.json,1,"unfortunately , i could not find a restaurant that serves that kind of food in that area ."
64,SNG01196.json,0,what [value_pricerange] restaurant -s are there ?
65,SNG01196.json,1,[restaurant_name] is [value_pricerange] and it s [value_food] food . is that okay ?
66,SNG01196.json,0,no . try looking for a restaurant that serves [value_food] food .
67,SNG01196.json,1,i found the [restaurant_name] restaurant . would you like me to make a reservation ?
68,SNG01196.json,0,"yes , a table for [value_count] ."
69,SNG01196.json,1,"i would be happy to reserve for you , what day and time are you looking for ?"
70,SNG01196.json,0,"thank you , i need a reservation for [value_count] people at [value_time] on [value_day] ."
71,SNG01196.json,1,"      [restaurant_reference] is your confirmation code , may i help you with anything else ?      "
