,id,who,utt
0,SNG01162.json,0,I am looking for a particular restaurant. Its name is called travellers rest
1,SNG01162.json,1,It is an expensive British restaurant on the west side of town. Would you like the address?
2,SNG01162.json,0,"Yes, and can you book a table for 1 at 14:15 on Monday, please."
3,SNG01162.json,1,Ok. You're all set for Monday at 14:15. Have a great day.
4,SNG01165.json,0,I am looking for a restaurant. The restaurant should be in the moderate price range and should be in the east
5,SNG01165.json,1,Try curry prince or pizza hut fen ditton
6,SNG01165.json,0,The restaurant should serve italian food.
7,SNG01165.json,1,"Pizza hut fen ditton serves italian food in the east, would you like a reservation?"
8,SNG01165.json,0,What other restaurants in that area serve Italian food?
9,SNG01165.json,1,"Pizza hut fen ditton is the only Italian restaurant, in the east, in the moderate price range. Do you want me to try other areas?"
10,SNG01165.json,0,"No, that will do.  Can I book a table for monday?"
11,SNG01165.json,1,"Absolutely, how many people will you have and what time are you wanting the reservation?"
12,SNG01165.json,0,I will have 5 people and we would like 12:15 if possible. Thanks.
13,SNG01165.json,1,"You are booked, the reference number is AF2GJ7G6, may I assist with anything else?"
14,SNG01165.json,0,Thanks for you help. I only need the restaurant reservation. Goodbye.
15,SNG01165.json,1,"You're welcome.  Thank you for contacting Cambridge TownInfo centre, and have a great day."
16,SNG01172.json,0,I want to eat at a moderately priced restaurant please
17,SNG01172.json,1,What type of food would you like?
18,SNG01172.json,0,"Belgian please, i'm craving that lately"
19,SNG01172.json,1,We need some more information. Where are looking to eat?
20,SNG01172.json,0,"I prefer to eat in the center of town, please."
21,SNG01172.json,1,"No, I did not find any restaurants in the centre."
22,SNG01172.json,0,"Hmm.. How about somewhere else in town, what is available?"
23,SNG01172.json,1,I'm sorry but I don't have any belgian places in the centre. Can I try a different area?
24,SNG01172.json,0,Why don't we try turkish food instead
25,SNG01172.json,1,There are two Turkish restaurants in the centre of town. They are Efe's restaurant and Anatolia.
26,SNG01172.json,0,Either would be fine. Can you book for 1 at 20:00 on Tuesday?
27,SNG01172.json,1,"I'm sorry, it looks like they are both booked during yoir preferred time and day. Would you like to try something else?"
28,SNG01172.json,0,Yes try 19:00 and please give me the reference number.
29,SNG01172.json,1,Booking was successful at efes restaurant.  The table will be reserved for 15 minutes. Reference number is : QXZ05J29.
30,SNG01172.json,0,Thanks so much! You've been helpful.
31,SNG01172.json,1,Have a nice day 
32,SNG01172.json,0,You have a nice day also.
33,SNG01172.json,1,Thank you. I hope you enjoy your meal.
34,SNG01173.json,0,Are there cheap places to eat in the centre part of town?
35,SNG01173.json,1,There are several in that price range at the centre. What type of food would you like?  
36,SNG01173.json,0,Good I like chinese food please.
37,SNG01173.json,1,Charlie Chan looks great. Need a reservation?
38,SNG01173.json,0,"Yes, I need a reservation for 7 people on Friday at 17:45.  Could I get the reservation number?"
39,SNG01173.json,1,"Booking was successful. The table will be reserved for 15 minutes.
Reference number is : VX834JA0."
40,SNG01173.json,0,Perfect. Thank you for all of your help. Have a good day.
41,SNG01173.json,1,You are most welcome. Thanks for contacting TownInfo centre. Goodbye.
