utt,y
"yes , and can you book a table for [value_count] at [value_time] on [value_day] , please .",5
i am looking for a restaurant . the restaurant should be in the [value_pricerange] price range and should be in the [value_area],1
the restaurant should serve [value_food] food .,1
what other restaurant -s in that area serve [value_food] food ?,0
"no , that will do . can i book a table for [value_day] ?",5
i will have [value_count] people and we would like [value_time] if possible . thanks .,5
i want to eat at a [value_pricerange] -ly priced restaurant please,3
"belgian please , i am craving that lately",3
"i prefer to eat in the center of town , please .",3
"hmm . how about somewhere else in town , what is available ?",0
why do not we try [value_food] food instead,3
either would be fine . can you book for [value_count] at [value_time] on [value_day] ?,5
yes try [value_time] and please give me the reference number .,5
thanks so much ! you've been helpful .,2
you have a nice day also .,2
are there [value_pricerange] place -s to eat in the [value_area] part of town ?,3
good i like [value_food] food please .,3
"yes , i need a reservation for [value_count] people on [value_day] at [value_time] . could i get the reservation number ?",5
perfect . thank you for all of your help . have a good day .,2
i am actually looking for a particular restaurant recommended to me by the name of [restaurant_name] .,3
may i [restaurant_name] what type of food does [restaurant_name] serve ?,1
can you help me find a good [value_food] restaurant in the [value_area] ?,3
"yes , that would be great .",3
thank you for your service,2
"no , the reservation is all . goodbye .",2
i am looking for a restaurant . the restaurant should serve world food and should be in the [value_area],1
what [value_pricerange] restaurant -s are there ?,1
no . try looking for a restaurant that serves [value_food] food .,3
"yes , a table for [value_count] .",5
no that was everything . thanks,2
are there any [value_food] restaurant -s in the [value_area] part of town ?,3
are they [value_pricerange] ?,1
"please look for something else in the [value_pricerange] price range . i will need the address , post code and phone number .",0
"sure ! what s the address , postcode , and phone number of it ?",1
thank you for your help,2
please help me find somewhere to eat in the [value_area],3
that sounds great . can i get a postcode ? thanks !,2
"i am not ready to book yet . thanks , i will give you a call back . goodbye .",2
i am looking for a restaurant in the [value_area] that serves [value_food] food .,3
"no , i really need a restaurant in the [value_area] that serves [value_food] food .",3
are there any restaurant -s in the [value_area] that serve [value_food] food ?,3
will you please book a table for [value_count] people at [value_time] on [value_day] ?,5
"we can go earlier . how about [value_time] , please ?",5
"great , that was all . thanks",2
i am looking for place -s to eat in the [value_area] part of town .,3
is it a [value_pricerange] restaurant ?,1
"i need a [value_pricerange] place , please .",3
"thanks , will you please book a table for [value_count] people on [value_day] at [value_time] ?",5
perfect ! thank you for all of your help .,2
"i figured , my wife asks me odd random question sometimes , had to check . i am all set , thanks .",2
"no , thank you . no further questions for now . goodbye .",2
i need help finding a restaurant please .,3
"yes , i need a table for [value_count] people at [value_time] on [value_day] .",5
"no , i do not have a cuisine preference . i just need to book for [value_count] people at [value_time] on [value_day] .",5
"that sounds great , thank you . goodbye .",2
i am looking for a place to dine . the restaurant should be in the [value_area] and should be in the [value_pricerange] price range .,1
is there any place that serves [value_food] food ?,3
"either would be fine , could you make me a reservation for [value_count] people at [value_time] on [value_day] ?",5
"no , that is all . thanks , goodbye .",2
"hello ! i would like to go to a restaurant in the [value_area] , please .",3
[value_pricerange] price please,3
"i would like to try the [value_food] [value_count] . what is the restaurant s name , please ?",1
"can i get the address , postcode too , please ?",1
i am trying to find an [value_pricerange] restaurant in the [value_area] of town .,3
belgian food please,3
"ok , how about [value_food] food then ?",4
no that is all . thanks,2
i am looking for a particular restaurant . its name is called [restaurant_name],3
thanks a lot . that s all the information i am looking for . goodbye .,2
ok i would like to book for [value_count] people at [value_count] on [value_day] please,5
"no , you were super efficient . thank you . goodbye .",2
i am looking for a restaurant . the restaurant should be in the [value_area] and should serve [value_food] food,1
is that restaurant [value_pricerange] ?,1
please get me the you get phone number and address,1
no thank you . i do not a reservation . that is all the info i need today .,2
"you , too . thank you , goodbye now .",2
"i am wanting [value_food] food , is there a restaurant that serves that near the [value_area] of town ?",3
thank you . i would like to book a table for [value_count] people for [value_day] at [value_time] . also can you provide a reference number to confirm .,5
"i want a place for dinner and serves a [value_food] food , where can i find it ? please first pick for me a taxi to that place should be to the [value_area] .",3
how about a [value_food] restaurant ?,3
"yes , please . [value_count] people at [value_time] on [value_day] .",5
"yes , let s shoot for the same thing but on [value_day] instead , okay ?",0
"no , i do not need that anymore . thanks . have a great day !",2
can you help me find [restaurant_name] ?,3
"yes please , can i have the number ?",1
thanks . that s everything for today .,2
thank you . goodbye .,2
is it possible to get any greek food in the [value_area] part of town ?,1
what about [value_food] food ?,4
book a table for [value_count] people at [value_time] on [value_day] .,5
"thanks , that s all . goodbye .",2
please help me find a restaurant that serves [value_food] food near the [value_area] of town .,3
"no thanks , but could i please have the postcode ?",2
can you please tell me the phone number ?,1
"hi there , can you help me find a restaurant in the [value_area] of town ? someplace with [value_food] food ?",3
what price range is that restaurant ?,1
"no that will not be necessary , could you just give me the address and postcode please ?",1
i am looking for a restuarant in the [value_pricerange] price range and should be in the [value_area],3
"i would prefer welsh food , please !",3
sure . what is their phone number and address there,1
"that is everything , still ironing out details , so i will call them later , thanks for your help .",2
"i have got my heart set on danish but we could go a bit more [value_pricerange] , i guess .",3
how about [value_food] food ?,4
"yes , for [value_count] people at [value_time] on [value_day] .",5
hello . i am looking for a recommendation for a place to eat .,3
i am looking for a place that is in the [value_area] and offers the americas food .,3
where else could ypou suppose i get american food,0
how about [value_food] ? i love pasta .,3
"no thank you , that was all i needed . have a great day .",2
there seems to be an error . thanks for booking the [value_food] restaurant . that is all i needed .,5
no that was everything . thanks,2
i am looking for a restaurant . i would like something [value_pricerange] that has [value_food] food .,3
"yes , could you make a reservation for [value_count] at [value_time] on [value_day] ?",5
thank you so much for your help !,2
"thanks , you too . goodbye .",2
i am looking for a place to dine . the restaurant should be in the [value_pricerange] price range and should serve [value_food] food .,1
that sounds interesting . what area is the restaurant in ?,1
no thanks . i just needed some info on it . that s all now .,2
i am looking for a restaurant . the restaurant should serve [value_food] food and should be in the [value_pricerange] price range,1
"could i book through you a table at the [restaurant_name] for [value_count] on [value_time] this [value_day] , as well as get the reference number for the [restaurant_name] ?",5
"i am in the mood for [value_food] food , please .",3
great that is all i need . thanks .,2
"will do ! thank you , hope you have an amazing day as well .",2
are there any [value_food] restaurant -s in [value_place] ?,3
if [value_count] of them has a [value_pricerange] price range please give me that address . if not tell me about [value_food] restaurant -s instead .,1
actually i need a [value_pricerange] -ly priced restaurant . are there any fitting that description ?,3
"yes , i need a reservation for [value_count] people at [value_time] on [value_day] .",5
i am looking for a place to dine . the restaurant should serve [value_food] food and should be in the [value_area],1
what restaurant -s are [value_pricerange] ?,1
how about [value_count] that serves [value_food] food ?,6
"that is all i need , thank you .",2
i am looking for a restaurant . the restaurant should be in the [value_area] and should serve persian food,1
what about [value_food] foods ?,4
"yes , i want a reservation for [value_count] people at [value_time] on [value_day] .",5
ok . ill check latter,3
what is the address for find [restaurant_name] ?,1
"thank you , can you book a table for [value_count] on [value_day] at [value_time]",5
thank you for the help .,2
i am looking for a place to dine . the restaurant should be in the [value_area] and should be in the [value_pricerange] price range,1
i do not care book a table for [value_count] people at [value_time] on [value_day] .,5
cool thank you . i am all set for now .,2
i am looking for a restaurant . the restaurant should serve [value_food] food and should be in the [value_pricerange] price range,1
"thanks , that s all . goodbye .",2
"no , i just realized i'll be in the [value_area] area . are there any that meet my criteria in the [value_area] ?",3
yes could you book me a table for [value_count] [value_day] at [value_time] ?,5
i am looking for a restaurant that is in the [value_area] of town and serves light bites food .,3
do you have any [value_pricerange] restaurant -s ?,3
"could you try [value_food] food , instead ?",7
that sounds good . can you book a table for [value_count] people at [value_time] on [value_day] please ?,5
"yes , how about [value_time] instead . i also need the reference number .",5
thank you for your help .,2
no that was all . thank you,2
i would like to find a place that i can get some northern [value_food] food .,3
"okay , what about a restaurant that serves [value_food] food ?",3
"i am looking for the [value_pricerange] price range , the area does not matter .",3
what s the post code and phone number of de luca cucina ?,1
"i need you to help me find an [value_pricerange] restaurant to dine in , i would like it to be [value_food] food .",3
"no , i just need the address , postcode and phone number . thanks !",2
"that s all i need . thanks , goodbye .",2
"i am looking for somewhere to eat in the [value_area] part of town , somewhere nice , price is no object .",3
i would like the restaurant to have [value_food] food .,1
that sounds good . i would like to book a table for [value_count] people on [value_day] at [value_time] .,5
"okay , until then . have a good [value_count] , goodbye .",2
i would . it s a party of [value_count] for [value_day] at [value_time] . can i get the reference number when you are done ?,5
"no , that s everything . thanks for your help .",2
i am looking for [value_count] that serves [value_food] food .,3
"no , i just need the address of [value_count] of them .",1
"no , i think i have everything i need . thanks !",2
great day too,3
i am looking for a place to dine . the restaurant should be in the [value_pricerange] price range and should serve [value_food] food .,1
"yes , i need the reservation to be for [value_count] people on [value_day] at [value_time] .",5
"thank you , can i get the reference number ?",2
if the booking fails how about [value_day] .,5
okay that s all . bye .,2
can you tell me the price range ?,1
"thanks , can i get the address and phone number ?",2
"no , that is ok . thank you for all your help today .",2
"thank you , goodbye .",2
i am looking for a place to dine in the [value_area] .,3
is there any where that serves middle eastern food ?,3
is there any where in the [value_area] that serves [value_food] food ?,3
i would like something in the [value_pricerange] price range .,3
book either for me,5
can we do [value_day] at [value_time] ?,5
i would like to eat at an [value_pricerange] [value_food] food restaurant,3
"great , can you book me a table for [value_count] at [value_time] on [value_day] ?",5
"sure , that would work .",3
how about [value_time] ?,5
i am looking for a restaurant in the [value_area] .,3
i do not have a price range but i am looking for [value_food] cuisine . is that possible ?,1
how about [value_food] food ?,4
"thanks , will you please book a table for [value_count] people on [value_day] at [value_time] ?",5
please try booking at [value_count]hrs and get me the reference number,5
"nope , that should be everything . thank you so much for all of your help .",2
hello can i find a place that serves [value_food] food and has [value_pricerange] price range for my family,3
i want a restuarant that i can book a table for [value_count] people on [value_day] [value_count]hrs,5
"yes , please . for [value_count] people at [value_time] on [value_day] .",5
"how about [value_day] , same time .",0
"no , that s all i need . thank you !",2
"hi , i need a recommendation for a restaurant in town .",3
is there a yelp rating for the restaurant ?,1
ok . book what you deem best and get me the reference number .,5
