,id,who,"utt",system_response
0,SNG01162.json,0,"i am looking for a particular restaurant . its name is called restaurant_name",INFORM_TYPE-restaurant_name
1,SNG01162.json,1,"it is an value_pricerange value_food restaurant on the value_area side of town . would you like the address ?",system_response
2,SNG01162.json,0,"yes , and can you book a table for value_people at value_time on value_day , please .",MAKE_RESERVATION-value_people-value_time-value_day
3,SNG01162.json,1,"ok . you are all set for value_day at value_time . have a great day .",system_response
4,SNG01165.json,0,"i am looking for a restaurant . the restaurant should be in the value_pricerange price range and should be in the value_area",INFORM_TYPE-value_pricerange-value_area
5,SNG01165.json,1,"try restaurant_name or restaurant_name",system_response
6,SNG01165.json,0,"the restaurant should serve value_food food .",INFORM_TYPE-value_food
7,SNG01165.json,1,"restaurant_name serves value_food food in the value_area , would you like a reservation ?",system_response
8,SNG01165.json,0,"what other restaurant -s in that area serve value_food food ?",ANYTHING_ELSE-value_food
9,SNG01165.json,1,"restaurant_name is the only value_food restaurant , in the value_area , in the value_pricerange price range . do you want me to try other area -s ?",system_response
10,SNG01165.json,0,"no , that will do . can i book a table for value_day ?",MAKE_RESERVATION-value_day
11,SNG01165.json,1,"absolutely , how many people will you have and what time are you wanting the reservation ?",system_response
12,SNG01165.json,0,"i will have value_people people and we would like value_time if possible . thanks .",MAKE_RESERVATION-value_people-value_time
13,SNG01165.json,1,"you are booked , the reference number is restaurant_reference , may i assist with anything else ?",system_response
14,SNG01165.json,0,"thanks for you help . i only need the restaurant reservation . goodbye .",GOODBYE
15,SNG01165.json,1,"you are welcome . thank you for contacting cambridge towninfo value_area , and have a great day .",system_response
16,SNG01172.json,0,"i want to eat at a value_pricerange -ly priced restaurant please",INFORM_TYPE-value_pricerange
17,SNG01172.json,1,"what type of food would you like ?",system_response
18,SNG01172.json,0,"value_food please , i am craving that lately",INFORM_TYPE-value_food
19,SNG01172.json,1,"we need some more information . where are looking to eat ?",system_response
20,SNG01172.json,0,"i prefer to eat in the value_area of town , please .",INFORM_TYPE-value_area
21,SNG01172.json,1,"no , i did not find any restaurant -s in the value_area .",system_response
22,SNG01172.json,0,"hmm . how about somewhere else in town , what is available ?",ANYTHING_ELSE
23,SNG01172.json,1,"i am sorry but i do not have any value_food place -s in the value_area . can i try a different area ?",system_response
24,SNG01172.json,0,"why do not we try value_food food instead",INFORM_TYPE_CHANGE-value_food
25,SNG01172.json,1,"there are 2 value_food restaurant -s in the value_area of town . they are efe s restaurant and restaurant_name .",system_response
26,SNG01172.json,0,"either would be fine . can you book for value_people at value_time on value_day ?",MAKE_RESERVATION-value_people-value_time-value_day
27,SNG01172.json,1,"i am sorry , it looks like they are both booked during yoir preferred time and day . would you like to try something else ?",system_response
28,SNG01172.json,0,"yes try value_time and please give me the reference number .",MAKE_RESERVATION_CHANGE_TIME-value_time
29,SNG01172.json,1,"booking was successful at restaurant_name . the table will be reserved for value_people minutes . reference number is restaurant_reference .",system_response
30,SNG01172.json,0,"thanks so much ! you've been helpful .",GOODBYE
31,SNG01172.json,1,"have a nice day",system_response
32,SNG01172.json,0,"you have a nice day also .",GOODBYE
33,SNG01172.json,1,"thank you . i hope you enjoy your meal .",system_response
34,SNG01173.json,0,"are there value_pricerange place -s to eat in the value_area part of town ?",INFORM_TYPE-value_pricerange-value_area
35,SNG01173.json,1,"there are several in that price range at the value_area . what type of food would you like ?",system_response
36,SNG01173.json,0,"good i like value_food food please .",INFORM_TYPE-value_food
37,SNG01173.json,1,"restaurant_name looks great . need a reservation ?",system_response
38,SNG01173.json,0,"yes , i need a reservation for value_people people on value_day at value_time . could i get the reservation number ?",MAKE_RESERVATION-value_people-value_day-value_time
39,SNG01173.json,1,"booking was successful . the table will be reserved for value_people minutes . reference number is restaurant_reference .",system_response
40,SNG01173.json,0,"perfect . thank you for all of your help . have a good day .",GOODBYE
41,SNG01173.json,1,"you are most welcome . thanks for contacting towninfo value_area . goodbye .",system_response
42,SNG01179.json,0,"can you help me find a restaurant ?",INFORM_TYPE
43,SNG01179.json,1,"are you looking for a particular style of food ?",system_response
44,SNG01179.json,0,"i am actually looking for a particular restaurant recommended to me by the name of restaurant_name .",INFORM_TYPE-restaurant_name
45,SNG01179.json,1,"yes , the restaurant_name is located on restaurant_address and on the northern part of cambridge .",system_response
46,SNG01179.json,0,"may i ask what type of food does restaurant_name serve ?",ASK_INFO
47,SNG01179.json,1,"sure ! it is value_food food .",system_response
48,SNG01179.json,0,"i'll also need the postcode and area please .",ASK_INFO-postcode
49,SNG01179.json,1,"restaurant_name is located in the value_area area and the postcode is restaurant_postcode .",system_response
50,SNG01179.json,0,"great , thanks . that is all i need today .",GOODBYE
51,SNG01179.json,1,"thank you for allowing me to help you . have a great day .",system_response
52,SNG01184.json,0,"can you help me find a good value_food restaurant in the value_area ?",INFORM_TYPE-value_food-value_area
53,SNG01184.json,1,"there is restaurant_name that s value_pricerange would you like me to book a table for you ?",system_response
54,SNG01184.json,0,"yes , that would be great .",INFORM_TYPE
55,SNG01184.json,1,"can you please tell me how many people and what day and time you would like me to book it ?",system_response
56,SNG01184.json,0,"value_day at value_time for value_people people .",MAKE_RESERVATION-value_day-value_time-value_people
57,SNG01184.json,1,"i was able to book that for you for value_day . your reference number is restaurant_reference .",system_response
58,SNG01184.json,0,"thank you for your service",GOODBYE
59,SNG01184.json,1,"you are quite welcome . do you need any further assistance ?",system_response
60,SNG01184.json,0,"no , the reservation is all . goodbye .",GOODBYE
61,SNG01184.json,1,"thank you for using our services .",system_response
62,SNG01196.json,0,"i am looking for a restaurant . the restaurant should serve value_food food and should be in the value_area",INFORM_TYPE-value_food-value_area
63,SNG01196.json,1,"unfortunately , i could not find a restaurant that serves that kind of food in that area .",system_response
64,SNG01196.json,0,"what value_pricerange restaurant -s are there ?",INFORM_TYPE-value_pricerange
65,SNG01196.json,1,"restaurant_name is value_pricerange and it s value_food food . is that okay ?",system_response
66,SNG01196.json,0,"no . try looking for a restaurant that serves value_food food .",INFORM_TYPE_CHANGE-value_food
67,SNG01196.json,1,"i found the restaurant_name restaurant . would you like me to make a reservation ?",system_response
68,SNG01196.json,0,"yes , a table for value_people .",MAKE_RESERVATION-value_people
69,SNG01196.json,1,"i would be happy to reserve for you , what day and time are you looking for ?",system_response
70,SNG01196.json,0,"thank you , i need a reservation for value_people people at value_time on value_day .",MAKE_RESERVATION-value_people-value_time-value_day
71,SNG01196.json,1,"restaurant_reference is your confirmation code , may i help you with anything else ?",system_response
72,SNG01196.json,0,"no that was everything . thanks",GOODBYE
73,SNG01196.json,1,"thank you for using our services .",system_response
74,SNG01198.json,0,"are there any value_food restaurant -s in the value_area part of town ?",INFORM_TYPE-value_food-value_area
75,SNG01198.json,1,"restaurant_name is in the value_area abd serves value_food food",system_response
76,SNG01198.json,0,"are they value_pricerange ?",ASK_INFO
77,SNG01198.json,1,"they are in the value_pricerange price range .",system_response
78,SNG01198.json,0,"please look for something else in the value_pricerange price range . i will need the address , post code and phone number .",ANYTHING_ELSE-value_pricerange
79,SNG01198.json,1,"does the restaurant_name sound like a good choice ?",system_response
80,SNG01198.json,0,"sure ! what s the address , postcode , and phone number of it ?",ASK_INFO-address-phone-postcode
81,SNG01198.json,1,"their address is restaurant_address , postcode is restaurant_postcode , and phone number is restaurant_phone",system_response
82,SNG01198.json,0,"thank you for your help",GOODBYE
83,SNG01198.json,1,"thank you goodbye",system_response
84,SNG01221.json,0,"please help me find somewhere to eat in the value_area",INFORM_TYPE-value_area
85,SNG01221.json,1,"you could try the hotel_name , which is value_food , and priced value_pricerange -ly . it is located at hotel_address .",system_response
86,SNG01221.json,0,"that sounds great . can i get a postcode ? thanks !",ASK_INFO-postcode
87,SNG01221.json,1,"the postcode is restaurant_postcode . would you like me to make a reservation ?",system_response
88,SNG01221.json,0,"i am not ready to book yet . thanks , i will give you a call back . goodbye .",GOODBYE
89,SNG01221.json,1,"alright . sounds good . i look forward to your call .",system_response
90,SNG01235.json,0,"i am looking for a restaurant in the value_area that serves value_food food .",INFORM_TYPE-value_area-value_food
91,SNG01235.json,1,"unfortunately , i was unable to find a restaurant in the value_area that serves value_food cuisine . is there another type of cuisine that would interest you ?",system_response
92,SNG01235.json,0,"no , i really need a restaurant in the value_area that serves value_food food .",INFORM_TYPE-value_area-value_food
93,SNG01235.json,1,"there is value_food food in the value_area and value_area of town . the value_area has many cuisines but no value_food food .",system_response
94,SNG01235.json,0,"are there any restaurant -s in the value_area that serve value_food food ?",INFORM_TYPE_CHANGE-value_area-value_food
95,SNG01235.json,1,"restaurant_name is a value_food place that is in the value_area . the number is restaurant_phone .",system_response
96,SNG01235.json,0,"will you please book a table for value_people people at value_time on value_day ?",MAKE_RESERVATION-value_people-value_time-value_day
97,SNG01235.json,1,"unfortunately , the time and day you've chosen is unavailable . would you like to book a different time or day ?",system_response
98,SNG01235.json,0,"we can go earlier . how about value_time , please ?",MAKE_RESERVATION_CHANGE_TIME-value_time
99,SNG01235.json,1,"booking was successful for value_time . the table will be reserved for value_people minutes . your reference number is restaurant_reference . anything else ?",system_response
100,SNG01235.json,0,"great , that was all . thanks",GOODBYE
101,SNG01235.json,1,"you are very welcome ! goodbye .",system_response
102,SNG01243.json,0,"i am looking for place -s to eat in the value_area part of town .",INFORM_TYPE-value_area
103,SNG01243.json,1,"its called restaurant_name , serves value_food food and address is restaurant_address",system_response
104,SNG01243.json,0,"is it a value_pricerange restaurant ?",ASK_INFO
105,SNG01243.json,1,"no , it is value_pricerange .",system_response
106,SNG01243.json,0,"i need a value_pricerange place , please .",INFORM_TYPE-value_pricerange
107,SNG01243.json,1,"restaurant_name is value_pricerange and looks great .",system_response
108,SNG01243.json,0,"thanks , will you please book a table for value_people people on value_day at value_time ?",MAKE_RESERVATION-value_people-value_day-value_time
109,SNG01243.json,1,"booking was successful . the table will be reserved for value_people minutes . reference number is restaurant_reference .",system_response
110,SNG01243.json,0,"perfect ! thank you for all of your help .",GOODBYE
111,SNG01243.json,1,"you are more than welcome . may i do anything else for you today ?",system_response
112,SNG01243.json,0,"wait , i might want to change my mind about that restaurant . are there any that serve food from value_food ?",INFORM_TYPE-value_food
113,SNG01243.json,1,"no , there are none fitting that description , sir . sorry about that .",system_response
114,SNG01243.json,0,"i figured , my wife asks me odd random question sometimes , had to check . i am all set , thanks .",GOODBYE
115,SNG01243.json,1,"do you need any further assistance ?",system_response
116,SNG01243.json,0,"no , thank you . no further questions for now . goodbye .",GOODBYE
117,SNG01243.json,1,"thank you for using our services .",system_response
118,SNG01255.json,0,"i need help finding a restaurant please .",INFORM_TYPE
119,SNG01255.json,1,"what kind of food are you looking for and do you have a certain area you would like to visit ?",system_response
120,SNG01255.json,0,"i would really like to find someplace serving value_food in the value_area of town .",INFORM_TYPE-value_food-value_area
121,SNG01255.json,1,"restaurant_name serves value_food food in the value_area . do you want me to make a reservation ?",system_response
122,SNG01255.json,0,"yes , i need a table for value_people people at value_time on value_day .",MAKE_RESERVATION-value_people-value_time-value_day
123,SNG01255.json,1,"you are booked for restaurant_name . your reference number is restaurant_reference . the table will be reserved for value_people minutes . anything else ?",system_response
124,SNG01255.json,0,"no , that is all thanks . goodbye .",GOODBYE
125,SNG01255.json,1,"have a great day , and please call us again if you need anything else . bye !",system_response
126,SNG01256.json,0,"looking for a restaurant . the restaurant should be in the value_pricerange price range and should be in the value_area .",INFORM_TYPE-value_pricerange-value_area
127,SNG01256.json,1,"i have many excellent options available . do you have a cuisine preference , i should i recommend 1 ?",system_response
128,SNG01256.json,0,"no , i do not have a cuisine preference . i just need to book for value_people people at value_time on value_day .",MAKE_RESERVATION-value_people-value_time-value_day
129,SNG01256.json,1,"great , i booked you at the restaurant_name and your reference number is restaurant_reference .",system_response
130,SNG01256.json,0,"that sounds great , thank you . goodbye .",GOODBYE
131,SNG01256.json,1,"you are welcome . i appreciate your using the towninfo value_area . goodbye .",system_response
132,SNG01292.json,0,"i am looking for a place to dine . the restaurant should be in the value_area and should be in the value_pricerange price range .",INFORM_TYPE-value_area-value_pricerange
133,SNG01292.json,1,"i have restaurant_name they serve value_food food .",system_response
134,SNG01292.json,0,"is there any place that serves value_food food ?",INFORM_TYPE-value_food
135,SNG01292.json,1,"there are 2 value_food restaurant -s that are in the value_pricerange price range restaurant_name and the restaurant_name .",system_response
136,SNG01292.json,0,"either would be fine , could you make me a reservation for value_people people at value_time on value_day ?",MAKE_RESERVATION-value_people-value_time-value_day
137,SNG01292.json,1,"i have booked you a table for value_people , your reference number is restaurant_reference . can i help you with anything else ?",system_response
138,SNG01292.json,0,"no , that is all . thanks , goodbye .",GOODBYE
139,SNG01292.json,1,"thank you for using our services .",system_response
140,SNG01335.json,0,"hello ! i would like to go to a restaurant in the value_area , please .",INFORM_TYPE-value_area
141,SNG01335.json,1,"there are 9 restaurant -s in the value_area . do you want a certain price range ?",system_response
142,SNG01335.json,0,"value_pricerange price please",INFORM_TYPE-value_pricerange
143,SNG01335.json,1,"i have 2 value_food restaurant -s and 1 value_food restaurant . do you have a preference ?",system_response
144,SNG01335.json,0,"i would like to try the value_food 1 . what is the restaurant s name , please ?",ASK_INFO
145,SNG01335.json,1,"it is restaurant_name .",system_response
146,SNG01335.json,0,"can i get the address , postcode too , please ?",ASK_INFO-address-postcode
147,SNG01335.json,1,"the address is restaurant_address , postcode restaurant_postcode . anything else ?",system_response
148,SNG01335.json,0,"thanks a lot that would be all .",GOODBYE
149,SNG01335.json,1,"you are welcome , enjoy your stay in cambridge .",system_response
150,SNG01352.json,0,"i am trying to find an value_pricerange restaurant in the value_area of town .",INFORM_TYPE-value_pricerange-value_area
151,SNG01352.json,1,"okay , there are a lots of options . what type of food would you like to eat ?",system_response
152,SNG01352.json,0,"value_food food please",INFORM_TYPE-value_food
153,SNG01352.json,1,"i do not have any restaurant -s that meet that criteria . is there another type of food or area you would be interested in ?",system_response
154,SNG01352.json,0,"ok , how about value_food food then ?",INFORM_TYPE_CHANGE-value_food
155,SNG01352.json,1,"how about restaurant_name ? they are an value_pricerange value_food restaurant at restaurant_address . would you like me to make a reservation ?",system_response
156,SNG01352.json,0,"no , i do not need a reservation . just the phone number and post code please .",MAKE_RESERVATION
157,SNG01352.json,1,"their phone number is restaurant_phone . and port code is restaurant_postcode",system_response
158,SNG01352.json,0,"great ! thanks so much .",GOODBYE
159,SNG01352.json,1,"you are quite welcome . is there anything further i can assist you with ?",system_response
160,SNG01352.json,0,"no that is all . thanks",GOODBYE
