cuda_device : 4
eos_m_token : EOS_M
beam_len_bonus : 0.5
mode : test
m : TSD
prev_z_method : separate
dataset : usr
seed : 0
vocab_size : 800
embedding_size : 50
hidden_size : 50
lr : 0.003
lr_decay : 0.5
layer_num : 1
z_length : 16
max_ts : 50
early_stop_count : 5
cuda : True
degree_size : 1
split : (9, 1, 1)
model_path : ./models/multi_woz_simulator911_goal.pkl
result_path : ./results/multi_woz_simulator911_goal.csv
vocab_path : ./vocab/vocab-multi_woz_simulator911_goal.pkl
data : /data/qkun/simulator/data/multiwoz-master/data/multi-woz/rest_usr_simulator.json
entity : ./data/multi_woz/ontology.json
db : /data/qkun/simulator/data/multiwoz-master/data/multi-woz/restaurant_db.json
glove_path : ../sequicity/data/glove/glove.6B.50d.txt
batch_size : 32
dropout_rate : 0.5
epoch_num : 100
rl_epoch_num : 1
spv_proportion : 100
new_vocab : True
teacher_force : 100
beam_search : False
beam_size : 10
sampling : False
use_positional_embedding : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False
START_CSV_SECTION
dial_id,turn_num,user,generated_bspan,bspan,generated_response,response,u_len,m_len,supervised
1225,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,"hello , i am looking for an <unk> restaurant that serves <unk> food .",9,15,True
1198,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,i would like a <unk> restaurant that serves <unk> food,9,11,True
1305,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,"hello , i am looking for a <unk> restaurant on the <unk> side of town .",9,17,True
1294,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,need a restaurant serving <unk> style <unk>,9,8,True
1190,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,"hi , i want a <unk> <unk> priced restaurant located in the <unk> part of town .",9,18,True
1221,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,"hi , i am looking for a <unk> <unk> priced restaurant on the <unk> side of town .",9,19,True
1277,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,"hello , i am looking for a <unk> <unk> priced restaurant on the <unk> side of town .",9,19,True
1299,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,i am looking for a <unk> restaurant in the <unk> part of town .,9,15,True
1247,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,i am looking for a restaurant in the <unk> price range and in the <unk> part of town .,9,20,True
1302,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,hi . can you please help me find a <unk> <unk> priced restaurant in the <unk> part of town ?,9,21,True
1278,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,"hello , i am looking for a <unk> restaurant on the <unk> side of town .",9,17,True
1243,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,are there any <unk> restaurant <unk> in the city ?,9,11,True
1211,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,"hi , i am looking for a <unk> <unk> priced restaurant in the <unk> part of town .",9,19,True
1200,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,"i want to <unk> an <unk> restaurant in the <unk> part of town . i need the address , phone number , and type of food .",9,28,True
1274,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i am looking for a restaurant in the <unk> .,i would like a <unk> <unk> priced restaurant located in the <unk> part of town .,9,17,True
