Unnamed: 0,id,who,utt,system_response,context,act_param
0,SNG01162.json,0,i am looking for a particular restaurant . its name is called restaurant_name,INFORM_TYPE-restaurant_name,<start>,inform_type-restaurant_name
2,SNG01162.json,0,"yes , and can you book a table for value_people at value_time on value_day , please .",MAKE_RESERVATION-value_people-value_time-value_day,it is an value_pricerange value_food restaurant on the value_area side of town . would you like the address ?,make_reservation-value_day-value_people-value_time
4,SNG01165.json,0,i am looking for a restaurant . the restaurant should be in the value_pricerange price range and should be in the value_area,INFORM_TYPE-value_pricerange-value_area,<start>,inform_type-value_area-value_pricerange
6,SNG01165.json,0,the restaurant should serve value_food food .,INFORM_TYPE-value_food,try restaurant_name or restaurant_name,inform_type-value_food
8,SNG01165.json,0,what other restaurant -s in that area serve value_food food ?,ANYTHING_ELSE-value_food,"restaurant_name serves value_food food in the value_area , would you like a reservation ?",anything_else-value_food
10,SNG01165.json,0,"no , that will do . can i book a table for value_day ?",MAKE_RESERVATION-value_day,"restaurant_name is the only value_food restaurant , in the value_area , in the value_pricerange price range . do you want me to try other area -s ?",make_reservation-value_day
12,SNG01165.json,0,i will have value_people people and we would like value_time if possible . thanks .,MAKE_RESERVATION-value_people-value_time,"absolutely , how many people will you have and what time are you wanting the reservation ?",make_reservation-value_people-value_time
14,SNG01165.json,0,thanks for you help . i only need the restaurant reservation . goodbye .,GOODBYE,"you are booked , the reference number is restaurant_reference , may i assist with anything else ?",goodbye
16,SNG01172.json,0,i want to eat at a value_pricerange -ly priced restaurant please,INFORM_TYPE-value_pricerange,<start>,inform_type-value_pricerange
18,SNG01172.json,0,"value_food please , i am craving that lately",INFORM_TYPE-value_food,what type of food would you like ?,inform_type-value_food
20,SNG01172.json,0,"i prefer to eat in the value_area of town , please .",INFORM_TYPE-value_area,we need some more information . where are looking to eat ?,inform_type-value_area
22,SNG01172.json,0,"hmm . how about somewhere else in town , what is available ?",ANYTHING_ELSE,"no , i did not find any restaurant -s in the value_area .",anything_else
24,SNG01172.json,0,why do not we try value_food food instead,INFORM_TYPE_CHANGE-value_food,i am sorry but i do not have any value_food place -s in the value_area . can i try a different area ?,inform_type_change-value_food
26,SNG01172.json,0,either would be fine . can you book for value_people at value_time on value_day ?,MAKE_RESERVATION-value_people-value_time-value_day,there are 2 value_food restaurant -s in the value_area of town . they are efe s restaurant and restaurant_name .,make_reservation-value_day-value_people-value_time
28,SNG01172.json,0,yes try value_time and please give me the reference number .,MAKE_RESERVATION_CHANGE_TIME-value_time,"i am sorry , it looks like they are both booked during yoir preferred time and day . would you like to try something else ?",make_reservation_change_time-value_time
30,SNG01172.json,0,thanks so much ! you've been helpful .,GOODBYE,booking was successful at restaurant_name . the table will be reserved for value_people minutes . reference number is restaurant_reference .,goodbye
32,SNG01172.json,0,you have a nice day also .,GOODBYE,have a nice day,goodbye
34,SNG01173.json,0,are there value_pricerange place -s to eat in the value_area part of town ?,INFORM_TYPE-value_pricerange-value_area,<start>,inform_type-value_area-value_pricerange
36,SNG01173.json,0,good i like value_food food please .,INFORM_TYPE-value_food,there are several in that price range at the value_area . what type of food would you like ?,inform_type-value_food
38,SNG01173.json,0,"yes , i need a reservation for value_people people on value_day at value_time . could i get the reservation number ?",MAKE_RESERVATION-value_people-value_day-value_time,restaurant_name looks great . need a reservation ?,make_reservation-value_day-value_people-value_time
40,SNG01173.json,0,perfect . thank you for all of your help . have a good day .,GOODBYE,booking was successful . the table will be reserved for value_people minutes . reference number is restaurant_reference .,goodbye
42,SNG01179.json,0,can you help me find a restaurant ?,INFORM_TYPE,<start>,inform_type
44,SNG01179.json,0,i am actually looking for a particular restaurant recommended to me by the name of restaurant_name .,INFORM_TYPE-restaurant_name,are you looking for a particular style of food ?,inform_type-restaurant_name
46,SNG01179.json,0,may i ask what type of food does restaurant_name serve ?,ASK_INFO,"yes , the restaurant_name is located on restaurant_address and on the northern part of cambridge .",ask_info
48,SNG01179.json,0,i'll also need the postcode and area please .,ASK_INFO-postcode,sure ! it is value_food food .,ask_info-postcode
50,SNG01179.json,0,"great , thanks . that is all i need today .",GOODBYE,restaurant_name is located in the value_area area and the postcode is restaurant_postcode .,goodbye
52,SNG01184.json,0,can you help me find a good value_food restaurant in the value_area ?,INFORM_TYPE-value_food-value_area,<start>,inform_type-value_area-value_food
54,SNG01184.json,0,"yes , that would be great .",INFORM_TYPE,there is restaurant_name that s value_pricerange would you like me to book a table for you ?,inform_type
56,SNG01184.json,0,value_day at value_time for value_people people .,MAKE_RESERVATION-value_day-value_time-value_people,can you please tell me how many people and what day and time you would like me to book it ?,make_reservation-value_day-value_people-value_time
58,SNG01184.json,0,thank you for your service,GOODBYE,i was able to book that for you for value_day . your reference number is restaurant_reference .,goodbye
60,SNG01184.json,0,"no , the reservation is all . goodbye .",GOODBYE,you are quite welcome . do you need any further assistance ?,goodbye
62,SNG01196.json,0,i am looking for a restaurant . the restaurant should serve value_food food and should be in the value_area,INFORM_TYPE-value_food-value_area,<start>,inform_type-value_area-value_food
64,SNG01196.json,0,what value_pricerange restaurant -s are there ?,INFORM_TYPE-value_pricerange,"unfortunately , i could not find a restaurant that serves that kind of food in that area .",inform_type-value_pricerange
66,SNG01196.json,0,no . try looking for a restaurant that serves value_food food .,INFORM_TYPE_CHANGE-value_food,restaurant_name is value_pricerange and it s value_food food . is that okay ?,inform_type_change-value_food
68,SNG01196.json,0,"yes , a table for value_people .",MAKE_RESERVATION-value_people,i found the restaurant_name restaurant . would you like me to make a reservation ?,make_reservation-value_people
70,SNG01196.json,0,"thank you , i need a reservation for value_people people at value_time on value_day .",MAKE_RESERVATION-value_people-value_time-value_day,"i would be happy to reserve for you , what day and time are you looking for ?",make_reservation-value_day-value_people-value_time
72,SNG01196.json,0,no that was everything . thanks,GOODBYE,"restaurant_reference is your confirmation code , may i help you with anything else ?",goodbye
74,SNG01198.json,0,are there any value_food restaurant -s in the value_area part of town ?,INFORM_TYPE-value_food-value_area,<start>,inform_type-value_area-value_food
76,SNG01198.json,0,are they value_pricerange ?,ASK_INFO,restaurant_name is in the value_area abd serves value_food food,ask_info
78,SNG01198.json,0,"please look for something else in the value_pricerange price range . i will need the address , post code and phone number .",ANYTHING_ELSE-value_pricerange,they are in the value_pricerange price range .,anything_else-value_pricerange
80,SNG01198.json,0,"sure ! what s the address , postcode , and phone number of it ?",ASK_INFO-address-phone-postcode,does the restaurant_name sound like a good choice ?,ask_info-address-phone-postcode
82,SNG01198.json,0,thank you for your help,GOODBYE,"their address is restaurant_address , postcode is restaurant_postcode , and phone number is restaurant_phone",goodbye
84,SNG01221.json,0,please help me find somewhere to eat in the value_area,INFORM_TYPE-value_area,<start>,inform_type-value_area
86,SNG01221.json,0,that sounds great . can i get a postcode ? thanks !,ASK_INFO-postcode,"you could try the hotel_name , which is value_food , and priced value_pricerange -ly . it is located at hotel_address .",ask_info-postcode
88,SNG01221.json,0,"i am not ready to book yet . thanks , i will give you a call back . goodbye .",GOODBYE,the postcode is restaurant_postcode . would you like me to make a reservation ?,goodbye
