utt,y
"yes , and can you book a table for value_people at value_time on value_day , please .",5
i am looking for a restaurant . the restaurant should be in the value_pricerange price range and should be in the value_area,3
the restaurant should serve value_food food .,3
what other restaurant -s in that area serve value_food food ?,0
"no , that will do . can i book a table for value_day ?",5
i will have value_people people and we would like value_time if possible . thanks .,5
i want to eat at a value_pricerange -ly priced restaurant please,3
"value_food please , i am craving that lately",3
"i prefer to eat in the value_area of town , please .",3
"hmm . how about somewhere else in town , what is available ?",0
why do not we try value_food food instead,4
either would be fine . can you book for value_people at value_time on value_day ?,5
yes try value_time and please give me the reference number .,6
thanks so much ! you've been helpful .,2
you have a nice day also .,2
are there value_pricerange place -s to eat in the value_area part of town ?,3
good i like value_food food please .,3
"yes , i need a reservation for value_people people on value_day at value_time . could i get the reservation number ?",5
perfect . thank you for all of your help . have a good day .,2
i am actually looking for a particular restaurant recommended to me by the name of restaurant_name .,3
may i ask what type of food does restaurant_name serve ?,1
can you help me find a good value_food restaurant in the value_area ?,3
"yes , that would be great .",3
thank you for your service,2
"no , the reservation is all . goodbye .",2
i am looking for a restaurant . the restaurant should serve value_food food and should be in the value_area,3
what value_pricerange restaurant -s are there ?,3
no . try looking for a restaurant that serves value_food food .,4
"yes , a table for value_people .",5
no that was everything . thanks,2
are there any value_food restaurant -s in the value_area part of town ?,3
are they value_pricerange ?,1
"please look for something else in the value_pricerange price range . i will need the address , post code and phone number .",0
"sure ! what s the address , postcode , and phone number of it ?",1
thank you for your help,2
please help me find somewhere to eat in the value_area,3
that sounds great . can i get a postcode ? thanks !,1
"i am not ready to book yet . thanks , i will give you a call back . goodbye .",2
i am looking for a restaurant in the value_area that serves value_food food .,3
"no , i really need a restaurant in the value_area that serves value_food food .",3
are there any restaurant -s in the value_area that serve value_food food ?,4
will you please book a table for value_people people at value_time on value_day ?,5
"we can go earlier . how about value_time , please ?",6
"great , that was all . thanks",2
i am looking for place -s to eat in the value_area part of town .,3
is it a value_pricerange restaurant ?,1
"i need a value_pricerange place , please .",3
"thanks , will you please book a table for value_people people on value_day at value_time ?",5
perfect ! thank you for all of your help .,2
"i figured , my wife asks me odd random question sometimes , had to check . i am all set , thanks .",2
"no , thank you . no further questions for now . goodbye .",2
i need help finding a restaurant please .,3
"yes , i need a table for value_people people at value_time on value_day .",5
"no , i do not have a cuisine preference . i just need to book for value_people people at value_time on value_day .",5
"that sounds great , thank you . goodbye .",2
i am looking for a place to dine . the restaurant should be in the value_area and should be in the value_pricerange price range .,3
is there any place that serves value_food food ?,3
"either would be fine , could you make me a reservation for value_people people at value_time on value_day ?",5
"no , that is all . thanks , goodbye .",2
"hello ! i would like to go to a restaurant in the value_area , please .",3
value_pricerange price please,3
"i would like to try the value_food 1 . what is the restaurant s name , please ?",1
"can i get the address , postcode too , please ?",1
i am trying to find an value_pricerange restaurant in the value_area of town .,3
value_food food please,3
"ok , how about value_food food then ?",4
no that is all . thanks,2
i am looking for a particular restaurant . its name is called restaurant_name,3
thanks a lot . that s all the information i am looking for . goodbye .,2
ok i would like to book for value_people people at value_time on value_day please,5
"no , you were super efficient . thank you . goodbye .",2
i am looking for a restaurant . the restaurant should be in the value_area and should serve value_food food,3
is that restaurant value_pricerange ?,1
please get me the you get phone number and address,1
no thank you . i do not a reservation . that is all the info i need today .,2
"you , too . thank you , goodbye now .",2
"i am wanting value_food food , is there a restaurant that serves that near the value_area of town ?",3
thank you . i would like to book a table for value_people people for value_day at value_time . also can you provide a reference number to confirm .,5
"i want a place for dinner and serves a value_food food , where can i find it ? please first pick for me a taxi to that place should be to the value_area .",1
how about a value_food restaurant ?,4
"yes , please . value_people people at value_time on value_day .",5
"yes , let s shoot for the same thing but on value_day instead , okay ?",6
"no , i do not need that anymore . thanks . have a great day !",2
can you help me find restaurant_name ?,3
"yes please , can i have the number ?",1
thanks . that s everything for today .,2
thank you . goodbye .,2
is it possible to get any value_food food in the value_area part of town ?,1
what about value_food food ?,4
book a table for value_people people at value_time on value_day .,5
"thanks , that s all . goodbye .",2
please help me find a restaurant that serves value_food food near the value_area of town .,3
"no thanks , but could i please have the postcode ?",1
can you please tell me the phone number ?,1
"hi there , can you help me find a restaurant in the value_area of town ? someplace with value_food food ?",3
what price range is that restaurant ?,1
"no that will not be necessary , could you just give me the address and postcode please ?",1
i am looking for a restuarant in the value_pricerange price range and should be in the value_area,3
"i would prefer value_food food , please !",3
sure . what is their phone number and address there,1
"that is everything , still ironing out details , so i will call them later , thanks for your help .",2
"i have got my heart set on value_food but we could go a bit more value_pricerange , i guess .",4
how about value_food food ?,4
"yes , for value_people people at value_time on value_day .",5
hello . i am looking for a recommendation for a place to eat .,3
i am looking for a place that is in the value_area and offers the americas food .,3
where else could ypou suppose i get value_food food,0
how about value_food ? i love pasta .,4
"no thank you , that was all i needed . have a great day .",2
there seems to be an error . thanks for booking the value_food restaurant . that is all i needed .,2
no that was everything . thanks,2
i am looking for a restaurant . i would like something value_pricerange that has value_food food .,3
"yes , could you make a reservation for value_people at value_time on value_day ?",5
thank you so much for your help !,2
"thanks , you too . goodbye .",2
i am looking for a place to dine . the restaurant should be in the value_pricerange price range and should serve value_food food .,3
that sounds interesting . what area is the restaurant in ?,1
no thanks . i just needed some info on it . that s all now .,2
